,start,end,duration,round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
0,09/21/20-170125,09/21/20-170147,21.957728147506714,100,0.044905701860785484,0.8722666501998901,0.6040187478065491,0.049644599109888075,0.8551999926567078,0.5556432008743286,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,40,0.32,100,uniform,65,25,29,logcosh,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
1,09/21/20-170147,09/21/20-170205,17.798821449279785,124,0.04033955019712448,0.8938666582107544,0.6801277995109558,0.051120463848114014,0.8496000170707703,0.5385591387748718,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,60,0.16,124,uniform,92,35,38,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
2,09/21/20-170205,09/21/20-170238,32.63684964179993,142,0.02922670655976981,0.9130666851997375,0.7433676719665527,0.06411143841966986,0.8327999711036682,0.5259998440742493,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,30,0.4,142,uniform,38,30,20,logcosh,5.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
3,09/21/20-170238,09/21/20-170255,17.179831743240356,118,0.1585145795047283,0.9213333129882812,0.7680131196975708,1.0729035921096801,0.8288000226020813,0.4928677976131439,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,65,0.32,118,normal,29,50,32,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
4,09/21/20-170255,09/21/20-170321,26.17206597328186,136,0.04002483735481898,0.8960000276565552,0.6846716403961182,0.053432169660925864,0.848800003528595,0.5275930166244507,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,65,0.16,136,normal,20,20,35,logcosh,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
5,09/21/20-170322,09/21/20-170351,29.76333236694336,112,0.04033083185553551,0.8882666826248169,0.6684613823890686,0.054414279371500014,0.8464000225067139,0.5450071692466736,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,60,0.0,112,uniform,20,50,38,logcosh,5.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
6,09/21/20-170352,09/21/20-170458,65.54814624786377,142,0.054670749127864834,0.8471999764442444,0.43226364254951477,0.055693436898291114,0.8432000279426575,0.4422813057899475,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,30,0.24,142,uniform,47,45,20,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
7,09/21/20-170458,09/21/20-170538,40.27391719818115,142,0.04259236535367866,0.8829333186149597,0.6263134479522705,0.05112001010775566,0.8479999899864197,0.5317810773849487,<function relu at 0x0000019F2296F168>,<function sigmoid at 0x0000019F2296F4C8>,35,0.0,142,uniform,56,30,32,logcosh,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
8,09/21/20-170538,09/21/20-170617,38.739911794662476,124,0.1431877628415823,0.9383999705314636,0.8259758949279785,0.8683486417531967,0.8312000036239624,0.5186729431152344,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,45,0.08,124,uniform,47,35,29,binary_crossentropy,5.0,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
9,09/21/20-170617,09/21/20-170647,29.310932397842407,100,0.3110464955965678,0.8738666772842407,0.6008409857749939,0.34598001050949095,0.8528000116348267,0.5453178286552429,<function elu at 0x0000019F21F2DAF8>,<function sigmoid at 0x0000019F2296F4C8>,40,0.32,100,uniform,38,25,26,binary_crossentropy,1.0,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
