round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
100,0.36093309698502224,0.8613333,0.5580897,0.37666508281230926,0.844,0.45711535,relu,sigmoid,65,0.35,100,normal,56,27,23,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.3580708699226379,0.85653335,0.56407005,0.3833592838048935,0.84,0.49268872,relu,sigmoid,70,0.35,115,normal,48,21,23,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3104852999150753,0.872,0.62642586,0.3538997758626938,0.848,0.5325365,relu,sigmoid,45,0.0,110,normal,48,15,26,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3611475720802943,0.8634667,0.5567372,0.3734572796821594,0.8424,0.47532994,relu,sigmoid,85,0.35,110,normal,56,21,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.30663993368546166,0.872,0.62229365,0.3510645063519478,0.8496,0.54026085,relu,sigmoid,65,0.0,100,normal,40,18,29,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.33736616694927213,0.86986667,0.6198515,0.3571657757759094,0.848,0.53799945,relu,sigmoid,70,0.35,100,normal,44,15,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.28983579021692274,0.88373333,0.66505367,0.3566851358413696,0.848,0.54737794,relu,sigmoid,45,0.175,110,normal,68,24,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.28267448450128235,0.88533336,0.6515251,0.35835310590267183,0.844,0.5304984,relu,sigmoid,35,0.175,115,normal,80,27,32,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3208141326109568,0.8717333,0.6220424,0.35480641746520997,0.8536,0.54503053,relu,sigmoid,40,0.0,100,normal,40,15,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.3158893745541573,0.8717333,0.6152412,0.3512185416221619,0.8544,0.5566203,relu,sigmoid,45,0.175,115,normal,68,24,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3199389165639877,0.8712,0.6276409,0.35492648631334306,0.8488,0.52323073,relu,sigmoid,75,0.35,105,normal,48,24,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3916644127766291,0.8413333,0.46104977,0.4022344778776169,0.8312,0.4030143,relu,sigmoid,85,0.35,105,normal,48,27,32,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.38121070341269175,0.8448,0.51068825,0.40545606696605685,0.8304,0.44424376,relu,sigmoid,85,0.175,100,normal,64,21,32,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.3216752030849457,0.8706667,0.6260711,0.3536760756969452,0.8504,0.54612136,relu,sigmoid,60,0.35,115,normal,76,18,20,binary_crossentropy,0.215,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.34441206347942355,0.8608,0.58386326,0.3755242928266525,0.8464,0.50258416,relu,sigmoid,70,0.175,110,normal,40,15,32,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.2986656430363655,0.8757333,0.6428084,0.3578388822674751,0.8488,0.56141186,relu,sigmoid,65,0.0,110,normal,56,21,26,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3217551712592443,0.86906666,0.5987504,0.3623670725226402,0.844,0.5263752,relu,sigmoid,55,0.175,100,normal,52,27,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.29064430445432665,0.8808,0.6496587,0.35912089252471924,0.8488,0.52974564,relu,sigmoid,35,0.175,110,normal,56,27,32,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3085401628911495,0.8765333,0.60791177,0.35899352365732196,0.8464,0.52651584,relu,sigmoid,35,0.35,110,normal,84,15,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.31128754899899164,0.8765333,0.6266143,0.36752262246608736,0.852,0.5090314,relu,sigmoid,35,0.175,105,normal,56,27,29,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
110,0.38208832188447317,0.8416,0.4958731,0.4015441926717758,0.8376,0.43113962,relu,sigmoid,65,0.0,110,normal,40,18,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.31125234625736875,0.8736,0.6125436,0.3544002479314804,0.8592,0.5505435,relu,sigmoid,55,0.0,105,normal,48,18,20,binary_crossentropy,0.23,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
