round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,losses,lr,optimizer,use_bias
115,0.4333810567855835,0.8528000116348267,0.5244154930114746,0.22102011998494467,0.91333336,0.76340014,relu,sigmoid,50,0.275,115,normal,60,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
125,0.42221154510974884,0.8551999926567078,0.5128542184829712,0.22033788373072943,0.9130667,0.74913955,relu,sigmoid,50,0.275,125,normal,70,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
125,0.4352982211112976,0.8519999980926514,0.5014269351959229,0.21083503524462383,0.91893333,0.76888454,relu,sigmoid,50,0.275,125,normal,70,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
125,0.4325068790316582,0.843999981880188,0.5367693901062012,0.2089663556019465,0.9128,0.7633762,relu,sigmoid,40,0.2375,125,normal,70,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.45988448190689085,0.8248000144958496,0.5110058188438416,0.2140591997305552,0.9136,0.76048005,relu,sigmoid,40,0.2375,105,normal,60,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.42171184834837916,0.8600000143051147,0.5364397168159485,0.2101770042081674,0.9173333,0.7837862,relu,sigmoid,55,0.2,110,normal,75,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.41256661811470985,0.8623999953269958,0.5719713568687439,0.2262600053946177,0.9112,0.7419315,relu,sigmoid,40,0.3125,100,normal,60,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
115,0.4325557458400726,0.8543999791145325,0.4930647313594818,0.2530734731356303,0.9,0.6956366,relu,sigmoid,40,0.3125,115,normal,70,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.4201629376411438,0.8583999872207642,0.4831128716468811,0.21727396488189699,0.9141333,0.7659378,relu,sigmoid,50,0.2375,105,normal,60,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.4288312884569168,0.8407999873161316,0.5243381261825562,0.2160315508445104,0.9112,0.7593098,relu,sigmoid,55,0.2375,105,normal,75,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.4092982679605484,0.8511999845504761,0.5423833131790161,0.22466544374823572,0.91386664,0.74906784,relu,sigmoid,50,0.3125,100,normal,75,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.4049565770626068,0.8479999899864197,0.5409098863601685,0.25218577444553375,0.9,0.722978,relu,sigmoid,60,0.35,105,normal,65,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.38559455037117,0.8592000007629395,0.5108544230461121,0.23929338067770003,0.90133333,0.7174086,relu,sigmoid,50,0.3125,105,normal,75,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.36247304677963255,0.8615999817848206,0.5239872932434082,0.2637972343961398,0.88373333,0.64937264,relu,sigmoid,50,0.275,100,normal,75,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
100,0.3832258623838425,0.8640000224113464,0.5727745890617371,0.22689600586891173,0.90826666,0.7422769,relu,sigmoid,60,0.275,100,normal,70,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.43233131790161133,0.8511999845504761,0.5001050233840942,0.2413761670589447,0.9045333,0.7184197,relu,sigmoid,40,0.35,130,normal,75,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4331157195568085,0.8464000225067139,0.5237776041030884,0.2516630710164706,0.8944,0.70031303,relu,sigmoid,50,0.2,115,normal,60,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.36835898852348326,0.8424000144004822,0.48026204109191895,0.2712259812355042,0.8869333,0.6583767,relu,sigmoid,55,0.2375,120,normal,60,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4434381637275219,0.8496000170707703,0.48971137404441833,0.19948174375295638,0.9213333,0.7902622,relu,sigmoid,55,0.2,115,normal,75,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
130,0.42404948568344114,0.843999981880188,0.5578029155731201,0.2199261327981949,0.9112,0.75542885,relu,sigmoid,60,0.2,130,normal,65,30,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
115,0.500341248512268,0.8343999981880188,0.49224090576171875,0.19808722412586213,0.91973335,0.77383876,relu,sigmoid,40,0.275,115,normal,80,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4790145282745361,0.8503999710083008,0.5203219652175903,0.1962564920981725,0.92106664,0.7811912,relu,sigmoid,40,0.2375,115,normal,80,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
120,0.40478779196739195,0.8456000089645386,0.5061888098716736,0.26647291670242945,0.8968,0.6980268,relu,sigmoid,50,0.3125,120,normal,65,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.4435475482940674,0.8479999899864197,0.5360488891601562,0.19439767217636109,0.9253333,0.7987434,relu,sigmoid,60,0.2,105,normal,75,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.44141239452362063,0.8432000279426575,0.5135214328765869,0.19159265470008055,0.924,0.79048395,relu,sigmoid,55,0.2,105,normal,80,45,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.42265826332569123,0.8615999817848206,0.5515627264976501,0.22529937414328258,0.9066667,0.74281865,relu,sigmoid,40,0.2,110,normal,70,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.39496241199970245,0.8456000089645386,0.4729280173778534,0.2609511334101359,0.89386666,0.68942803,relu,sigmoid,40,0.275,105,normal,65,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.38478122317790986,0.848800003528595,0.547863781452179,0.27074378975232444,0.89626664,0.70411664,relu,sigmoid,40,0.275,110,normal,60,15,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
110,0.4087478413581848,0.8456000089645386,0.5471703410148621,0.22329514718055726,0.90933335,0.75204605,relu,sigmoid,60,0.3125,110,normal,80,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
125,0.4009445328712463,0.8543999791145325,0.4992303252220154,0.24194897079467773,0.89493334,0.6948026,relu,sigmoid,60,0.35,125,normal,75,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
105,0.46161681473255156,0.8416000008583069,0.5130944848060608,0.21489720857143402,0.91386664,0.76305115,relu,sigmoid,60,0.2375,105,normal,80,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
125,0.37868137350678444,0.8560000061988831,0.5101280212402344,0.2548774777452151,0.89306664,0.69441223,relu,sigmoid,55,0.275,125,normal,80,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
