round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
100,0.41496402855217457,0.853600025177002,0.5315695405006409,0.23759314169685045,0.90506667,0.7234432,relu,sigmoid,52,0.1125,100,normal,56,41,24,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.38454670513868333,0.8496000170707703,0.5414175987243652,0.2755255093574524,0.89573336,0.65406203,relu,sigmoid,52,0.3,110,normal,48,29,10,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4627348847389221,0.8496000170707703,0.5611159205436707,0.21161931375662485,0.91893333,0.7618395,relu,sigmoid,40,0.2375,100,normal,60,35,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.4163052067756653,0.8407999873161316,0.5046394467353821,0.24603940018018086,0.89893335,0.7108828,relu,sigmoid,40,0.3,100,normal,68,20,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.46938553745746614,0.848800003528595,0.530785858631134,0.24466793653964997,0.9066667,0.7177389,relu,sigmoid,44,0.3,120,normal,52,32,10,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4709628488540649,0.828000009059906,0.49363192915916443,0.20733641206820805,0.91466665,0.76210976,relu,sigmoid,56,0.05,115,normal,56,35,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.39961296916007993,0.8551999926567078,0.5847898721694946,0.2553895695447922,0.8986667,0.7042217,relu,sigmoid,56,0.1125,110,normal,64,26,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.432949073266983,0.8456000089645386,0.5280464291572571,0.2253172688782215,0.90746665,0.7400013,relu,sigmoid,48,0.05,110,normal,48,38,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.4221653331041336,0.8392000198364258,0.5052881240844727,0.23875414845148724,0.9098667,0.7386444,relu,sigmoid,56,0.05,120,normal,48,41,12,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.55688720703125,0.8263999819755554,0.48742929100990295,0.18074317379792532,0.93653333,0.82533467,relu,sigmoid,40,0.2375,105,normal,60,32,18,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.38612641698122024,0.86080002784729,0.5481696724891663,0.25754640098412834,0.90506667,0.71325207,relu,sigmoid,52,0.1125,110,normal,44,29,12,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.44719594106674193,0.8407999873161316,0.4889852702617645,0.2213527758538723,0.91866666,0.75792736,relu,sigmoid,48,0.05,105,normal,48,44,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.4064656768083572,0.8464000225067139,0.5026875734329224,0.2536192570606867,0.90533334,0.7161162,relu,sigmoid,44,0.3,110,normal,60,23,12,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
110,0.4537283721923828,0.828000009059906,0.510051965713501,0.22691694723765055,0.9112,0.7458433,relu,sigmoid,44,0.2375,110,normal,48,29,22,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
