round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
110,0.29899145012100536,0.8768,0.6232087,0.3756147848367691,0.8472,0.53946674,relu,sigmoid,35,0.0,110,normal,56,24,23,26,binary_crossentropy,0.175,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.3423619125286738,0.8589333,0.56539,0.3822818696498871,0.8504,0.5244925,relu,sigmoid,50,0.175,105,normal,40,24,32,29,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.3024706171353658,0.87493336,0.6463869,0.3720741322040558,0.8512,0.57421535,relu,sigmoid,85,0.175,115,normal,80,21,23,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.31720356076955797,0.8728,0.6398222,0.37613594114780424,0.8456,0.5584774,relu,sigmoid,75,0.35,100,normal,84,24,32,29,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.2991878453095754,0.8770667,0.63537174,0.3724107782840729,0.8456,0.5530112,relu,sigmoid,70,0.0,115,normal,76,24,26,32,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2860101968447367,0.8789333,0.6506982,0.3734023945331573,0.8536,0.571023,relu,sigmoid,70,0.0,100,normal,84,18,26,20,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.3045199849406878,0.88026667,0.63090503,0.3711572332382202,0.8448,0.553202,relu,sigmoid,85,0.175,100,normal,68,24,32,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.29279504585266114,0.88746667,0.6773606,0.3907060828208923,0.836,0.52044564,relu,sigmoid,60,0.35,100,normal,52,24,20,32,binary_crossentropy,0.75,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
115,0.2892978567481041,0.88533336,0.65843046,0.3907376655936241,0.8408,0.5350926,relu,sigmoid,65,0.35,115,normal,56,18,32,32,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3174900376200676,0.8706667,0.5948361,0.36840176141262054,0.8552,0.55640906,relu,sigmoid,45,0.35,110,normal,60,15,23,32,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.32089118645588555,0.872,0.6074101,0.3637105420827866,0.8552,0.5615711,relu,sigmoid,85,0.175,110,normal,68,21,26,29,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
105,0.30616163164377214,0.87733334,0.6307966,0.37977362459897995,0.8456,0.5499078,relu,sigmoid,45,0.35,105,normal,48,21,20,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.30852292507886886,0.87626666,0.62565637,0.3725042489171028,0.8536,0.5564075,relu,sigmoid,75,0.35,105,normal,68,21,23,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.28330065977573393,0.8928,0.68654895,0.3928974807262421,0.8384,0.5443202,relu,sigmoid,60,0.35,115,normal,68,18,29,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
110,0.3193254173199336,0.86986667,0.6168903,0.36911647069454195,0.8568,0.5634008,relu,sigmoid,85,0.175,110,normal,44,24,32,29,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.3322124905586243,0.8688,0.60348743,0.3764069321155548,0.8432,0.53125405,relu,sigmoid,55,0.35,105,normal,64,18,29,20,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
105,0.28511695749560995,0.8810667,0.65380776,0.375981825530529,0.8512,0.5458578,relu,sigmoid,35,0.0,105,normal,68,21,32,29,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
115,0.23292063450316589,0.9162667,0.7498465,0.4861143414974213,0.8296,0.4601663,relu,sigmoid,35,0.0,115,normal,80,27,23,26,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
