round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
100,0.6403650837540626,0.8303999900817871,0.5221071243286133,0.14287493686502178,0.93813336,0.82106346,relu,sigmoid,35,0.08,100,normal,65,56,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
106,0.32335340082645414,0.8736000061035156,0.580327033996582,0.32081157247225445,0.8664,0.6015504,elu,sigmoid,50,0.4,106,normal,83,56,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
142,0.3212366342544556,0.8791999816894531,0.5848903656005859,0.32043714483579,0.86613333,0.6081733,elu,sigmoid,50,0.24,142,normal,29,38,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.5120068849921227,0.8543999791145325,0.5350937247276306,0.2140771936774254,0.9181333,0.77386665,relu,sigmoid,35,0.24,118,uniform,65,56,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.4283381643295288,0.853600025177002,0.554938554763794,0.25319782638549804,0.89493334,0.69880795,relu,sigmoid,60,0.08,136,uniform,20,47,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.530511538863182,0.8623999953269958,0.5936082601547241,0.21917442799607914,0.9098667,0.7437,relu,sigmoid,65,0.16,130,uniform,29,56,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
112,0.324207598567009,0.8672000169754028,0.5657427310943604,0.3266658443212509,0.86266667,0.5972399,elu,sigmoid,50,0.4,112,normal,20,20,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.324657786488533,0.8672000169754028,0.5896831750869751,0.3160510782400767,0.8653333,0.59466153,elu,sigmoid,50,0.08,130,uniform,38,56,29,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
118,0.3515189163088798,0.86080002784729,0.5546934604644775,0.2932556532720725,0.8784,0.6316583,elu,sigmoid,35,0.16,118,normal,29,56,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.4399094253778458,0.8551999926567078,0.5627325773239136,0.24395427465438843,0.9032,0.73443776,relu,sigmoid,50,0.16,130,uniform,56,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.32620752638578415,0.871999979019165,0.5917021036148071,0.3209397250612577,0.86266667,0.59212774,elu,sigmoid,65,0.16,106,uniform,20,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
148,0.3459075054526329,0.8560000061988831,0.5688830614089966,0.3089188663264116,0.8728,0.62615395,elu,sigmoid,35,0.16,148,normal,56,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
106,0.39893607956171034,0.8543999791145325,0.5675421357154846,0.26379441807667414,0.90133333,0.72693485,relu,sigmoid,65,0.4,106,uniform,47,29,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
142,0.3527058973312378,0.8600000143051147,0.58601975440979,0.2966963624159495,0.87866664,0.65465784,elu,sigmoid,65,0.16,142,uniform,65,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.809169071495533,0.8104000091552734,0.49868783354759216,0.11524727375805378,0.9528,0.87636495,relu,sigmoid,45,0.0,130,normal,74,47,38,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
130,0.7275007916986942,0.8216000199317932,0.512996256351471,0.12688932016988597,0.94773334,0.8661215,relu,sigmoid,55,0.0,130,uniform,47,47,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
106,0.404629296451807,0.8583999872207642,0.5347081422805786,0.2513662555217743,0.8984,0.7071076,relu,sigmoid,45,0.0,106,uniform,83,20,38,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,False
142,0.6106293942928315,0.8399999737739563,0.5354600548744202,0.16672369301319123,0.9370667,0.83690137,relu,sigmoid,65,0.16,142,normal,74,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.3356434509754181,0.8704000115394592,0.5964000821113586,0.3204969179630279,0.86906666,0.60210395,elu,sigmoid,60,0.0,106,normal,56,29,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.39180559587478636,0.8583999872207642,0.577917754650116,0.26507565927505494,0.89706665,0.70478296,relu,sigmoid,60,0.24,100,uniform,56,20,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.32598950922489167,0.8759999871253967,0.5769335627555847,0.3330183668931325,0.85786664,0.56307757,elu,sigmoid,50,0.32,106,uniform,83,20,20,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,False
124,0.8281869826316833,0.8416000008583069,0.5538187623023987,0.1304180575609207,0.94346666,0.85440683,relu,sigmoid,60,0.16,124,normal,83,20,29,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
