round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
100,0.25332963930567104,0.9098667,0.696758,0.4480319357514381,0.8248,0.5209229,relu,sigmoid,35,0.5,100,normal,62,39,26,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.30461637790997825,0.8818667,0.5949605,0.3880887393951416,0.836,0.51458406,relu,sigmoid,40,0.5,106,normal,42,18,20,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.179723053475221,0.9194667,0.7463247,0.7162162446975708,0.8152,0.5078911,relu,sigmoid,50,0.5,112,normal,42,27,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.2456777155250311,0.904,0.71188813,0.4324184578061104,0.824,0.52279145,relu,sigmoid,45,0.25,100,normal,50,39,32,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2527203533947468,0.90293336,0.71002525,0.4263412104845047,0.8216,0.5155794,relu,sigmoid,65,0.125,100,normal,70,36,29,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.27351650449633597,0.89786667,0.69081426,0.40400640076398847,0.8376,0.5383644,relu,sigmoid,35,0.25,106,normal,38,18,23,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.2239436333179474,0.91546667,0.7499699,0.4610114984512329,0.8128,0.5148736,relu,sigmoid,40,0.0,130,normal,58,18,38,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.19482997768123944,0.9264,0.77063864,0.5155200725793838,0.8136,0.50767046,relu,sigmoid,55,0.375,130,normal,62,21,32,binary_crossentropy,0.5,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
118,0.21549055457115174,0.92186666,0.76374763,0.5286917505264283,0.8112,0.50510514,relu,sigmoid,60,0.25,118,normal,54,21,20,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
106,0.29266134277979533,0.88,0.615779,0.3954754180908203,0.8312,0.52178925,relu,sigmoid,40,0.0,106,normal,30,33,35,binary_crossentropy,0.55,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.23441999423503876,0.9096,0.73237735,0.523734750032425,0.8112,0.49431193,relu,sigmoid,60,0.375,136,normal,46,33,26,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.22500844663381578,0.9109333,0.71705586,0.5018754527568817,0.8088,0.4829085,relu,sigmoid,45,0.0,100,normal,46,33,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.27186760181188585,0.89386666,0.66593283,0.41607509458065034,0.8328,0.51138127,relu,sigmoid,30,0.125,100,normal,70,15,23,binary_crossentropy,0.4,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.22170080742239953,0.9184,0.7626586,0.46997583186626435,0.828,0.56109416,relu,sigmoid,65,0.0,100,normal,42,18,20,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.3831261090437571,0.85146666,0.49381348,0.45850457072257994,0.8056,0.37970343,relu,sigmoid,50,0.5,130,normal,50,18,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.2547999068101247,0.90133333,0.6972003,0.42032032132148744,0.8264,0.49164757,relu,sigmoid,50,0.25,112,normal,42,36,35,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
124,0.22231831950942677,0.9184,0.73951936,0.4975203604698181,0.8128,0.48490912,relu,sigmoid,35,0.375,124,normal,46,24,23,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.1713551951944828,0.9328,0.80185336,0.6000482282042503,0.8232,0.5308303,relu,sigmoid,50,0.25,124,normal,42,30,32,binary_crossentropy,0.7,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
118,0.2569975451727708,0.90506667,0.7173179,0.4223072066307068,0.8352,0.53191066,relu,sigmoid,55,0.5,118,normal,70,18,29,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
