round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,losses,lr,optimizer,use_bias
128,0.30611922721068063,0.876,0.65150917,0.3681061661243439,0.8464,0.5371038,relu,sigmoid,50,0.375,128,normal,50,20,29,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
128,0.3146323060194651,0.8744,0.61152637,0.3574659459590912,0.8544,0.5356248,relu,sigmoid,40,0.5,128,normal,59,32,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
128,0.2801819225052993,0.88853335,0.6610741,0.3807310975193977,0.8392,0.5400727,relu,sigmoid,35,0.5,128,normal,59,29,20,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
120,0.2737403548856576,0.88373333,0.65921795,0.35501020079851153,0.852,0.5423289,relu,sigmoid,55,0.0,120,normal,59,32,23,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
108,0.31551638892292977,0.8738667,0.6198176,0.3573436880707741,0.8552,0.54444283,relu,sigmoid,45,0.25,108,normal,59,29,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
108,0.38596706408262255,0.8472,0.50010455,0.41041810953617097,0.8336,0.43623438,relu,sigmoid,45,0.5,108,normal,35,26,20,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.339147714694341,0.868,0.5911827,0.36333761990070346,0.856,0.5452161,relu,sigmoid,35,0.375,124,normal,50,26,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
120,0.3251290768682957,0.8784,0.63355947,0.3570216886997223,0.8552,0.5383262,relu,sigmoid,45,0.5,120,normal,53,26,20,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.318186451792717,0.872,0.6223275,0.3635170251131058,0.8528,0.514899,relu,sigmoid,50,0.5,112,normal,35,26,23,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
120,0.30605232959985734,0.8728,0.620415,0.355825524687767,0.8528,0.52763027,relu,sigmoid,45,0.0,120,normal,38,29,29,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
104,0.3145229423344135,0.87546664,0.61969733,0.35859406071901323,0.8424,0.5228176,relu,sigmoid,35,0.5,104,normal,41,32,23,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.3581478448708852,0.8570667,0.5383763,0.3900382924079895,0.844,0.47292316,relu,sigmoid,50,0.0,112,normal,56,26,20,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.3059991624355316,0.87866664,0.6389355,0.3502899669408798,0.8552,0.5608988,relu,sigmoid,45,0.25,124,normal,50,20,23,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
128,0.31630921322107314,0.8714667,0.61486495,0.3578551001548767,0.8544,0.5151623,relu,sigmoid,45,0.125,128,normal,50,23,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.345842472076416,0.8653333,0.5850716,0.3764791855812073,0.8512,0.49833247,relu,sigmoid,60,0.125,100,normal,44,26,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
112,0.383841073513031,0.8413333,0.48115212,0.41335580277442935,0.8296,0.40773442,relu,sigmoid,60,0.125,112,normal,35,20,23,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.33906092286109923,0.8645333,0.57309735,0.37244688510894775,0.8464,0.47846568,relu,sigmoid,60,0.0,124,normal,41,20,26,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.3890868457158407,0.8496,0.5048752,0.41663007020950316,0.8312,0.3998965,relu,sigmoid,50,0.5,124,normal,35,29,26,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
104,0.32311383724212644,0.8688,0.61243224,0.35696663200855255,0.8592,0.5564274,relu,sigmoid,50,0.5,104,normal,50,20,23,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
104,0.3307620023091634,0.8653333,0.6026024,0.36387883687019346,0.8568,0.5270965,relu,sigmoid,55,0.5,104,normal,35,32,26,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
128,0.3174621502161026,0.8752,0.6394322,0.3561234339475632,0.8536,0.5538426,relu,sigmoid,55,0.5,128,normal,53,23,26,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
120,0.37627599040667215,0.8472,0.5083634,0.40966118717193606,0.8296,0.40925807,relu,sigmoid,55,0.0,120,normal,44,26,20,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
116,0.40780972615877786,0.84506667,0.47966397,0.40810009825229643,0.8264,0.37596437,relu,sigmoid,55,0.5,116,normal,38,20,23,binary_crossentropy,0.15,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
120,0.30268584290146827,0.872,0.6212281,0.3872627617120743,0.8352,0.5420306,relu,sigmoid,35,0.125,120,normal,44,32,26,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
