round_epochs,loss,acc,f1score,val_loss,val_acc,val_f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,layer3_units,layer4_units,losses,lr,optimizer,use_bias
106,0.37380582014719643,0.8592,0.530464,0.43183624958992006,0.8248,0.4918942,relu,sigmoid,40,0.45,106,normal,35,21,29,18,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
130,0.2806503829360008,0.88853335,0.6561518,0.3830665873289108,0.8408,0.5774145,relu,sigmoid,45,0.0,130,normal,43,30,26,27,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
130,0.2940813899040222,0.8904,0.67180413,0.3893334656953812,0.8392,0.5569024,relu,sigmoid,75,0.15,130,normal,35,33,20,18,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.2524827006459236,0.896,0.69234276,0.41955198061466215,0.8344,0.5631487,relu,sigmoid,55,0.0,136,normal,51,30,29,18,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.3128770812352498,0.8765333,0.6140858,0.37632311129570006,0.8464,0.5837309,relu,sigmoid,40,0.15,118,normal,35,24,26,21,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.28093120783567427,0.8896,0.6672827,0.39082726418972014,0.844,0.5546648,relu,sigmoid,75,0.0,136,normal,59,30,23,15,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.2683073000361522,0.9064,0.6954205,0.42339979672431943,0.8392,0.51145375,relu,sigmoid,35,0.3,136,normal,67,15,29,21,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.278560780107975,0.892,0.67204034,0.41133659315109256,0.8312,0.5277135,relu,sigmoid,55,0.3,124,normal,51,33,23,27,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.2737140119075775,0.89573336,0.6909278,0.39706198215484617,0.84,0.56557935,relu,sigmoid,75,0.15,136,normal,55,33,23,15,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.24616686256726583,0.9098667,0.7407807,0.4319182057380676,0.8352,0.5602448,relu,sigmoid,70,0.15,112,normal,71,18,26,21,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.28172141253948213,0.8973333,0.6875043,0.38868083655834196,0.8504,0.6020567,relu,sigmoid,50,0.3,124,normal,55,30,26,24,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.3023603096206983,0.8792,0.63573444,0.3897987021803856,0.8376,0.50170726,relu,sigmoid,65,0.15,118,normal,43,33,20,21,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
118,0.2869628057181835,0.89386666,0.6508381,0.40119643980264663,0.836,0.49986854,relu,sigmoid,45,0.45,118,normal,43,30,32,24,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
136,0.28105477392673495,0.89306664,0.6693379,0.3994345676898956,0.844,0.5936636,relu,sigmoid,50,0.15,136,normal,55,30,23,15,binary_crossentropy,0.375,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
106,0.26951058834791186,0.90346664,0.68821496,0.42674021059274675,0.8376,0.55156773,relu,sigmoid,35,0.3,106,normal,71,24,23,27,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.2518342472910881,0.91013336,0.70974916,0.4316866536140442,0.8304,0.56614786,relu,sigmoid,30,0.15,112,normal,67,27,29,15,binary_crossentropy,0.35,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
112,0.29487342792749405,0.8824,0.61633474,0.37390125238895416,0.8512,0.5908351,relu,sigmoid,30,0.0,112,normal,39,15,32,21,binary_crossentropy,0.225,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
100,0.2959963515996933,0.87946665,0.62549,0.384434632062912,0.8488,0.5674358,relu,sigmoid,60,0.0,100,normal,39,33,23,21,binary_crossentropy,0.325,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
100,0.2811519031524658,0.89253336,0.6578414,0.38936810195446014,0.848,0.56058866,relu,sigmoid,30,0.15,100,normal,71,33,26,15,binary_crossentropy,0.25,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
106,0.29325834369659426,0.8861333,0.6376226,0.38597440445423126,0.8416,0.5452578,relu,sigmoid,35,0.15,106,normal,43,18,20,24,binary_crossentropy,0.325,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,True
124,0.29582579708099366,0.8821333,0.64218724,0.38283411622047425,0.844,0.5415928,relu,sigmoid,60,0.15,124,normal,63,30,26,24,binary_crossentropy,0.2,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
136,0.2776420555114746,0.8912,0.67298377,0.407652019739151,0.8376,0.5506996,relu,sigmoid,45,0.15,136,normal,59,27,32,21,binary_crossentropy,0.275,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
124,0.26832841137051583,0.8944,0.68084013,0.41662775886058806,0.8392,0.5728428,relu,sigmoid,45,0.15,124,normal,43,30,23,21,binary_crossentropy,0.3,<class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,True
